420000	湖北省	420500	宜昌市	544	宜昌
420000	湖北省	420600	襄阳市	537	襄樊
420000	湖北省	420700	鄂州市	538	鄂州
420000	湖北省	420800	荆门市	549	荆门
420000	湖北省	420900	孝感市	539	孝感
420000	湖北省	421000	荆州市	543	荆州
420000	湖北省	421100	黄冈市	540	黄冈
420000	湖北省	421200	咸宁市	542	咸宁
420000	湖北省	421300	随州市	548	随州
420000	湖北省	422800	恩施土家族苗族自治州	545	恩施
420000	湖北省	429000	省直辖县级行政区划
430000	湖南省	430100	长沙市	554	长沙
430000	湖南省	430200	株洲市	556	株洲
430000	湖南省	430300	湘潭市	555	湘潭
430000	湖南省	430400	衡阳市	557	衡阳
430000	湖南省	430500	邵阳市	562	邵阳
430000	湖南省	430600	岳阳市	553	岳阳
430000	湖南省	430700	常德市	559	常德
430000	湖南省	430800	张家界市	564	张家界
430000	湖南省	430900	益阳市	560	益阳
430000	湖南省	431000	郴州市	558	郴州
430000	湖南省	431100	永州市	566	永州
430000	湖南省	431200	怀化市	565	怀化
430000	湖南省	431300	娄底市	561	娄底
430000	湖南省	433100	湘西土家族苗族自治州	563	湘西
440000	广东省	440100	广州市	567	广州
440000	广东省	440200	韶关市	574	韶关
440000	广东省	440300	深圳市	577	深圳
440000	广东省	440400	珠海市	578	珠海
440000	广东省	440500	汕头市	576	汕头
440000	广东省	440600	佛山市	579	佛山
440000	广东省	440700	江门市	573	江门
440000	广东省	440800	湛江市	581	湛江
440000	广东省	440900	茂名市	571	茂名
440000	广东省	441200	肇庆市	580	肇庆
440000	广东省	441300	惠州市	572	惠州
440000	广东省	441400	梅州市	575	梅州
440000	广东省	441500	汕尾市	568	汕尾
440000	广东省	441600	河源市	583	河源
440000	广东省	441700	阳江市	569	阳江
440000	广东省	441800	清远市	584	清远
440000	广东省	445100	潮州市	586	潮州
440000	广东省	445200	揭阳市	570	揭阳
440000	广东省	445300	云浮市	585	云浮
450000	广西壮族自治区	450100	南宁市	685	南宁
450000	广西壮族自治区	450200	柳州市	688	柳州
450000	广西壮族自治区	450300	桂林市	689	桂林
450000	广西壮族自治区	450400	梧州市	690	梧州
450000	广西壮族自治区	450500	北海市	697	北海
450000	广西壮族自治区	450600	防城港市	684	防城港
450000	广西壮族自治区	450700	钦州市	695	钦州
450000	广西壮族自治区	450800	贵港市	692	贵港
450000	广西壮族自治区	450900	玉林市	693	玉林
450000	广西壮族自治区	451000	百色市	694	百色
450000	广西壮族自治区	451100	贺州市	691	贺州
450000	广西壮族自治区	451200	河池市	696	河池
450000	广西壮族自治区	451300	来宾市	687	来宾
450000	广西壮族自治区	451400	崇左市	686	崇左
460000	海南省	460100	海口市	632	海口
460000	海南省	469000	省直辖县级行政区划
500000	重庆市	500100	重庆市	381	重庆
510000	四川省	510100	成都市	602	成都
510000	四川省	510300	自贡市	604	自贡
510000	四川省	510400	攀枝花市	603	攀枝花
510000	四川省	510500	泸州市	611	泸州
510000	四川省	510600	德阳市	621	德阳
510000	四川省	510700	绵阳市	605	绵阳
510000	四川省	510800	广元市	622	广元
510000	四川省	510900	遂宁市	608	遂宁
510000	四川省	511000	内江市	614	内江
510000	四川省	511100	乐山市	615	乐山
510000	四川省	511300	南充市	606	南充
510000	四川省	511400	眉山市	616	眉山
510000	四川省	511500	宜宾市	612	宜宾
510000	四川省	511600	广安市	609	广安
510000	四川省	511700	达州市	607	达州
510000	四川省	511800	雅安市	618	雅安
510000	四川省	511900	巴中市	610	巴中
510000	四川省	512000	资阳市	613	资阳
510000	四川省	513200	阿坝藏族羌族自治州	620	阿坝
510000	四川省	513300	甘孜藏族自治州	619	甘孜
510000	四川省	513400	凉山彝族自治州	617	凉山
520000	贵州省	520100	贵阳市	623	贵阳
520000	贵州省	520200	六盘水市	630	六盘水
520000	贵州省	520300	遵义市	624	遵义
520000	贵州省	520400	安顺市	625	安顺
520000	贵州省	520500	毕节市	629	毕节
520000	贵州省	520600	铜仁市	628	铜仁
520000	贵州省	522300	黔西南布依族苗族自治州	631	黔西
520000	贵州省	522600	黔东南苗族侗族自治州	627	黔东
520000	贵州省	522700	黔南布依族苗族自治州	626	黔南
530000	云南省	530100	昆明市	653	昆明
530000	云南省	530300	曲靖市	656	曲靖
530000	云南省	530400	玉溪市	659	玉溪
530000	云南省	530500	保山市	657	保山
530000	云南省	530600	昭通市	652	昭通
530000	云南省	530700	丽江市	665	丽江
530000	云南省	530800	普洱市	661	普洱
530000	云南省	530900	临沧市	662	临沧
530000	云南省	532300	楚雄彝族自治州	660	楚雄
530000	云南省	532500	红河哈尼族彝族自治州	655	红河
530000	云南省	532600	文山壮族苗族自治州	658	文山
530000	云南省	532800	西双版纳傣族自治州	650	西双版纳
530000	云南省	532900	大理白族自治州	654	大理
530000	云南省	533100	德宏傣族景颇族自治州	651	德宏
530000	云南省	533300	怒江傈僳族自治州	663	怒江
530000	云南省	533400	迪庆藏族自治州	664	迪庆
540000	西藏自治区	540100	拉萨市	698	拉萨
540000	西藏自治区	542100	昌都地区	702	昌都
540000	西藏自治区	542200	山南地区	700	山南
540000	西藏自治区	542300	日喀则地区	699	日喀则
540000	西藏自治区	542400	那曲地区	703	那曲
540000	西藏自治区	542500	阿里地区	704	阿里
540000	西藏自治区	542600	林芝地区	701	林芝
610000	陕西省	610100	西安市	674	西安
610000	陕西省	610200	铜川市	683	铜川
610000	陕西省	610300	宝鸡市	682	宝鸡
610000	陕西省	610400	咸阳市	675	咸阳
610000	陕西省	610500	渭南市	678	渭南
610000	陕西省	610600	延安市	676	延安
610000	陕西省	610700	汉中市	681	汉中
610000	陕西省	610800	榆林市	677	榆林
610000	陕西省	610900	安康市	680	安康
610000	陕西省	611000	商洛市	679	商洛
620000	甘肃省	620100	兰州市	588	兰州
620000	甘肃省	620300	金昌市	589	金昌
620000	甘肃省	620400	白银市	590	白银
620000	甘肃省	620500	天水市	591	天水
620000	甘肃省	620600	武威市	593	武威
620000	甘肃省	620700	张掖市	594	张掖
620000	甘肃省	620800	平凉市	595	平凉
620000	甘肃省	620900	酒泉市	596	酒泉
620000	甘肃省	621000	庆阳市	597	庆阳
620000	甘肃省	621100	定西市	598	定西
620000	甘肃省	621200	陇南市	599	陇南
620000	甘肃省	622900	临夏回族自治州	600	临夏
620000	甘肃省	623000	甘南藏族自治州	601	甘南
630000	青海省	630100	西宁市	667	西宁
630000	青海省	630200	海东市	668	海东
630000	青海省	632200	海北藏族自治州	666	海北
630000	青海省	632300	黄南藏族自治州	669	黄南
630000	青海省	632600	果洛藏族自治州	671	果洛
630000	青海省	632700	玉树藏族自治州	672	玉树
630000	青海省	632800	海西蒙古族藏族自治州	673	海西
640000	宁夏回族自治区	640100	银川市	705	银川
640000	宁夏回族自治区	640200	石嘴山市	706	石嘴山
640000	宁夏回族自治区	640300	吴忠市	707	吴忠
640000	宁夏回族自治区	640400	固原市	708	固原
640000	宁夏回族自治区	640500	中卫市	709	中卫
650000	新疆维吾尔自治区	650100	乌鲁木齐市	717	乌鲁木齐
650000	新疆维吾尔自治区	650200	克拉玛依市	716	克拉玛依
650000	新疆维吾尔自治区	652100	吐鲁番地区	721	吐鲁番
650000	新疆维吾尔自治区	652200	哈密地区	711	哈密
650000	新疆维吾尔自治区	652300	昌吉回族自治州	719	昌吉
650000	新疆维吾尔自治区	652700	博尔塔拉蒙古自治州	715	博尔塔拉
650000	新疆维吾尔自治区	652800	巴音郭楞蒙古自治州	722	巴音郭楞
650000	新疆维吾尔自治区	652900	阿克苏地区	723	阿克苏
650000	新疆维吾尔自治区	653000	克孜勒苏柯尔克孜自治州	714	克孜勒苏
650000	新疆维吾尔自治区	653100	喀什地区	725	喀什
650000	新疆维吾尔自治区	653200	和田地区	712	和田
650000	新疆维吾尔自治区	654000	伊犁哈萨克自治州	727	伊犁
650000	新疆维吾尔自治区	654200	塔城地区	710	塔城
650000	新疆维吾尔自治区	654300	阿勒泰地区	713	阿勒泰
650000	新疆维吾尔自治区	659000	自治区直辖县级行政区划
