省编码	省名称	市编码	市名称	区县编码	区县名称	百姓省	市代码	百姓市	区县代码	百姓区县
130000	河北省	130500	邢台市	130531	广宗县	河北	xingtai	邢台	m6686	广宗
130000	河北省	130500	邢台市	130532	平乡县	河北	xingtai	邢台	m6685	平乡
130000	河北省	130500	邢台市	130533	威县	河北	xingtai	邢台	m6684	威县
130000	河北省	130500	邢台市	130534	清河县	河北	xingtai	邢台	m6683	清河
130000	河北省	130500	邢台市	130535	临西县	河北	xingtai	邢台	m6682	临西
130000	河北省	130500	邢台市	130581	南宫市	河北	xingtai	邢台	m6681	南宫
130000	河北省	130500	邢台市	130582	沙河市	河北	xingtai	邢台	m6680	沙河
130000	河北省	130600	保定市	130601	市辖区					
130000	河北省	130600	保定市	130602	新市区	河北	baoding	保定	m6802	新市
130000	河北省	130600	保定市	130603	北市区	河北	baoding	保定	m6801	北市
130000	河北省	130600	保定市	130604	南市区	河北	baoding	保定	m6800	南市
130000	河北省	130600	保定市	130621	满城县	河北	baoding	保定	m6799	满城
130000	河北省	130600	保定市	130622	清苑县	河北	baoding	保定	m6798	清苑
130000	河北省	130600	保定市	130623	涞水县	河北	baoding	保定	m6797	涞水
130000	河北省	130600	保定市	130624	阜平县	河北	baoding	保定	m6796	阜平
130000	河北省	130600	保定市	130625	徐水县	河北	baoding	保定	m6795	徐水
130000	河北省	130600	保定市	130626	定兴县	河北	baoding	保定	m6794	定兴
130000	河北省	130600	保定市	130627	唐县	河北	baoding	保定	m6793	唐县
130000	河北省	130600	保定市	130628	高阳县	河北	baoding	保定	m6792	高阳
130000	河北省	130600	保定市	130629	容城县	河北	baoding	保定	m6791	容城
130000	河北省	130600	保定市	130631	望都县	河北	baoding	保定	m6789	望都
130000	河北省	130600	保定市	130632	安新县	河北	baoding	保定	m6788	安新
130000	河北省	130600	保定市	130633	易县	河北	baoding	保定	m6787	易县
130000	河北省	130600	保定市	130634	曲阳县	河北	baoding	保定	m6786	曲阳
130000	河北省	130600	保定市	130635	蠡县	河北	baoding	保定	m6785	蠡县
130000	河北省	130600	保定市	130636	顺平县	河北	baoding	保定	m6784	顺平
130000	河北省	130600	保定市	130637	博野县	河北	baoding	保定	m6783	博野
130000	河北省	130600	保定市	130638	雄县	河北	baoding	保定	m6782	雄县
130000	河北省	130600	保定市	130681	涿州市	河北	baoding	保定	m6781	涿州
130000	河北省	130600	保定市	130682	定州市	河北	baoding	保定	m6780	定州
130000	河北省	130600	保定市	130683	安国市	河北	baoding	保定	m6779	安国
130000	河北省	130600	保定市	130684	高碑店市	河北	baoding	保定	m6778	高碑店
130000	河北省	130700	张家口市	130701	市辖区					
130000	河北省	130700	张家口市	130702	桥东区	河北	zhangjiakou	张家口	m6777	桥东
130000	河北省	130700	张家口市	130703	桥西区	河北	zhangjiakou	张家口	m6776	桥西
130000	河北省	130700	张家口市	130705	宣化区	河北	zhangjiakou	张家口	m6775	宣化区
130000	河北省	130700	张家口市	130706	下花园区	河北	zhangjiakou	张家口	m6774	下花园
130000	河北省	130700	张家口市	130721	宣化县	河北	zhangjiakou	张家口	m177408	宣化县
130000	河北省	130700	张家口市	130722	张北县	河北	zhangjiakou	张家口	m6773	张北
130000	河北省	130700	张家口市	130723	康保县	河北	zhangjiakou	张家口	m6772	康保
130000	河北省	130700	张家口市	130724	沽源县	河北	zhangjiakou	张家口	m6771	沽源
130000	河北省	130700	张家口市	130725	尚义县	河北	zhangjiakou	张家口	m6770	尚义
130000	河北省	130700	张家口市	130726	蔚县	河北	zhangjiakou	张家口	m6769	蔚县
